unidade;ano;mes;cond_adquirida;altas_validas;tx_cond_adquirida
HIJPII;2021;2;95;327;0,290519877675841
HIJPII;2021;3;59;308;0,19155844155844157
HIJPII;2021;5;29;237;0,12236286919831224
HIJPII;2021;6;22;116;0,1896551724137931
HIJPII;2021;7;44;327;0,1345565749235474
HIJPII;2021;8;41;309;0,13268608414239483
HIJPII;2021;9;41;341;0,12023460410557185
HIJPII;2021;10;52;363;0,14325068870523416
HIJPII;2021;11;33;366;0,09016393442622951
HIJPII;2021;12;38;436;0,0871559633027523
HIJPII;2022;1;53;361;0,14681440443213298
HIJPII;2022;2;13;107;0,12149532710280374
HIJPII;2022;3;48;327;0,14678899082568808
HIJPII;2022;4;27;269;0,10037174721189591
HIJPII;2022;5;55;404;0,13613861386138615
HIJPII;2022;6;22;387;0,056847545219638244
HIJPII;2022;7;44;378;0,1164021164021164
HIJPII;2022;8;31;319;0,09717868338557993
HIJPII;2022;9;22;365;0,06027397260273973
HIJPII;2022;10;3;261;0,011494252873563218
HIJPII;2022;11;36;417;0,08633093525179857
HIJPII;2022;12;30;344;0,0872093023255814
HIJPII;2023;1;45;306;0,14705882352941177
HIJPII;2023;2;26;419;0,06205250596658711
HIJPII;2023;3;81;503;0,1610337972166998
HIJPII;2023;4;37;261;0,1417624521072797
HIJPII;2023;5;65;458;0,14192139737991266
HIJPII;2023;6;66;399;0,16541353383458646
HIJPII;2023;7;93;451;0,20620842572062084
HIJPII;2023;8;75;374;0,20053475935828877
HIJPII;2023;9;56;390;0,14358974358974358
HIJPII;2023;10;67;352;0,1903409090909091
HIJPII;2023;11;63;323;0,19504643962848298
HIJPII;2023;12;75;321;0,2336448598130841
HIJPII;2024;1;77;316;0,24367088607594936
HIJPII;2024;2;75;408;0,18382352941176472
HIJPII;2024;3;105;607;0,17298187808896212
HIJPII;2024;4;101;614;0,16449511400651465
HIJPII;2024;5;93;498;0,18674698795180722
HIJPII;2024;6;83;401;0,20698254364089774
HIJPII;2024;7;97;389;0,2493573264781491
HIJPII;2024;8;86;350;0,24571428571428572
HIJPII;2024;9;95;390;0,24358974358974358
HIJPII;2024;10;64;383;0,1671018276762402
HIJPII;2024;11;69;352;0,19602272727272727
HIJPII;2024;12;94;407;0,23095823095823095
HIJPII;2025;1;93;345;0,26956521739130435
HIJPII;2025;2;67;346;0,1936416184971098
HIJPII;2025;3;75;444;0,16891891891891891
HIJPII;2025;4;29;286;0,10139860139860139
HIJPII;2025;5;105;540;0,19444444444444445
HIJPII;2025;6;45;456;0,09868421052631579
HIJPII;2025;7;64;379;0,16886543535620052
HIJPII;2025;8;69;315;0,21904761904761905
HIJPII;2025;9;59;301;0,19601328903654486
HIJPII;2025;10;57;327;0,1743119266055046
HIJPII;2025;11;70;332;0,21084337349397592
HIJPII;2025;12;83;340;0,24411764705882352
HIJPII;2026;1;42;290;0,14482758620689656
HIJPII;2026;2;36;245;0,1469387755102041
HIJPII;2026;3;10;97;0,10309278350515463
HIJPII;2026;4;29;383;0,07571801566579635
HIJPII;2026;5;69;495;0,1393939393939394
HIJPII;2026;6;128;489;0,261758691206544
HJK;2019;9;7;94;0,07446808510638298
HJK;2019;11;6;8;0,75
HJK;2019;12;56;105;0,5333333333333333
HJK;2020;1;130;925;0,14054054054054055
HJK;2020;2;25;698;0,03581661891117478
HJK;2020;3;39;873;0,044673539518900345
HJK;2020;4;57;693;0,08225108225108226
HJK;2020;5;65;735;0,08843537414965986
HJK;2020;6;80;695;0,11510791366906475
HJK;2020;7;37;692;0,05346820809248555
HJK;2020;8;37;594;0,06228956228956229
HJK;2020;9;84;662;0,1268882175226586
HJK;2020;10;102;680;0,15
HJK;2020;11;75;648;0,11574074074074074
HJK;2020;12;58;703;0,08250355618776671
HJK;2021;1;90;648;0,1388888888888889
HJK;2021;2;85;622;0,13665594855305466
HJK;2021;3;68;823;0,08262454434993925
HJK;2021;4;35;659;0,05311077389984825
HJK;2021;5;47;635;0,07401574803149606
HJK;2021;6;38;661;0,057488653555219364
HJK;2021;7;12;747;0,01606425702811245
HJK;2021;8;16;706;0,0226628895184136
HJK;2021;9;10;548;0,01824817518248175
HJK;2021;10;17;679;0,025036818851251842
HJK;2021;11;8;645;0,012403100775193798
HJK;2021;12;38;711;0,053445850914205346
HJK;2022;1;60;704;0,08522727272727272
HJK;2022;2;52;562;0,09252669039145907
HJK;2022;3;57;663;0,08597285067873303
HJK;2022;4;64;657;0,0974124809741248
HJK;2022;5;77;674;0,1142433234421365
HJK;2022;6;84;638;0,13166144200626959
HJK;2022;7;71;665;0,10676691729323308
HJK;2022;8;67;750;0,08933333333333333
HJK;2022;9;73;799;0,09136420525657071
HJK;2022;10;51;783;0,06513409961685823
HJK;2022;11;57;703;0,08108108108108109
HJK;2022;12;67;770;0,08701298701298701
HJK;2023;1;34;715;0,04755244755244755
HJK;2023;2;76;736;0,10326086956521739
HJK;2023;3;78;852;0,09154929577464789
HJK;2023;4;81;782;0,10358056265984655
HJK;2023;5;89;877;0,10148232611174458
HJK;2023;6;75;818;0,09168704156479218
HJK;2023;7;90;846;0,10638297872340426
HJK;2023;8;64;662;0,09667673716012085
HJK;2023;9;105;829;0,12665862484921592
HJK;2023;10;77;682;0,11290322580645161
HJK;2023;11;98;896;0,109375
